iter	Passed	Remaining
178	662	3039
179	665	3033
180	669	3028
181	672	3023
182	676	3018
183	679	3014
184	683	3010
185	686	3005
186	690	3001
187	693	2996
188	697	2991
189	700	2987
190	704	2983
191	707	2978
192	711	2974
193	714	2969
194	718	2965
195	721	2961
196	725	2956
197	729	2953
198	732	2950
199	737	2948
200	740	2945
201	744	2942
202	748	2939
203	752	2937
204	756	2935
205	760	2933
206	765	2930
207	768	2927
208	772	2924
209	776	2921
210	780	2918
211	784	2914
212	787	2910
213	791	2906
214	794	2900
215	798	2896
216	801	2891
217	804	2887
218	808	2883
219	811	2878
220	815	2873
221	818	2869
222	822	2864
223	825	2860
224	829	2857
225	833	2853
226	836	2849
227	840	2845
228	843	2841
229	847	2836
230	850	2832
231	854	2827
232	857	2822
233	861	2818
234	864	2814
235	867	2809
236	871	2805
237	874	2800
238	878	2795
239	881	2791
240	884	2786
241	888	2781
242	891	2776
243	894	2770
244	897	2765
245	900	2760
246	903	2754
247	907	2751
248	910	2746
249	913	2741
250	917	2737
251	920	2732
252	923	2727
253	927	2723
254	930	2717
255	933	2712
256	936	2707
257	939	2703
258	943	2698
259	946	2693
260	949	2688
261	952	2683
262	956	2679
263	959	2674
264	962	2669
265	965	2665
266	969	2661
267	972	2656
268	975	2651
269	978	2646
270	983	2645
271	987	2642
272	990	2637
273	993	2633
274	996	2628
275	999	2622
276	1003	2618
277	1006	2614
278	1009	2609
279	1014	2608
280	1017	2604
281	1021	2600
282	1024	2596
283	1028	2592
284	1031	2588
285	1034	2583
286	1037	2578
287	1040	2572
288	1044	2568
289	1047	2564
290	1051	2560
291	1054	2557
292	1058	2553
293	1061	2549
294	1065	2545
295	1068	2541
296	1072	2537
297	1075	2534
298	1079	2529
299	1082	2525
300	1085	2520
301	1088	2515
302	1092	2511
303	1095	2507
304	1099	2504
305	1102	2499
306	1105	2494
307	1108	2489
308	1111	2485
309	1114	2481
310	1118	2477
311	1122	2474
312	1125	2470
313	1129	2466
314	1132	2463
315	1136	2459
316	1139	2455
317	1142	2451
318	1146	2447
319	1149	2443
320	1153	2439
321	1156	2435
322	1160	2431
323	1163	2427
324	1166	2423
325	1170	2419
326	1173	2414
327	1176	2410
328	1179	2406
329	1183	2402
330	1186	2398
331	1189	2394
332	1192	2389
333	1196	2384
334	1199	2380
335	1202	2376
336	1206	2372
337	1209	2368
338	1212	2364
339	1216	2360
340	1219	2357
341	1223	2354
342	1227	2350
343	1230	2346
344	1234	2343
345	1237	2339
346	1240	2335
347	1243	2330
348	1248	2328
349	1251	2324
350	1255	2320
351	1258	2317
352	1261	2312
353	1264	2308
354	1268	2304
355	1271	2300
356	1274	2296
357	1277	2291
358	1280	2287
359	1284	2282
360	1287	2278
361	1290	2274
362	1294	2271
363	1297	2267
364	1301	2263
365	1304	2259
366	1307	2255
367	1311	2252
368	1314	2248
369	1318	2244
370	1321	2241
371	1325	2237
372	1328	2233
373	1332	2230
374	1335	2225
375	1338	2221
376	1341	2217
377	1345	2213
378	1348	2209
379	1351	2205
380	1355	2201
381	1358	2197
382	1362	2194
383	1365	2190
384	1369	2187
385	1372	2182
386	1375	2178
387	1378	2174
388	1382	2170
389	1385	2167
390	1389	2163
391	1393	2160
392	1396	2156
393	1400	2153
394	1403	2149
395	1406	2145
396	1410	2141
397	1413	2137
398	1416	2133
399	1420	2130
400	1423	2126
401	1427	2122
402	1430	2118
403	1433	2114
404	1436	2110
405	1439	2106
406	1443	2103
407	1446	2099
408	1450	2096
409	1454	2093
410	1458	2089
411	1461	2086
412	1465	2082
413	1468	2078
414	1471	2074
415	1474	2069
416	1477	2065
417	1480	2061
418	1484	2057
419	1487	2053
420	1490	2050
421	1494	2046
422	1497	2043
423	1501	2039
424	1505	2036
425	1508	2033
426	1512	2029
427	1515	2025
428	1518	2021
429	1521	2017
430	1525	2013
431	1528	2009
432	1532	2006
433	1535	2002
434	1538	1998
435	1542	1995
436	1545	1991
437	1548	1987
438	1552	1983
439	1555	1979
440	1559	1976
441	1562	1972
442	1565	1968
443	1568	1964
444	1572	1960
445	1575	1957
446	1579	1954
447	1582	1950
448	1586	1947
449	1590	1943
450	1593	1940
451	1597	1936
452	1600	1933
453	1604	1929
454	1607	1925
455	1610	1921
456	1613	1917
457	1617	1913
458	1620	1909
459	1623	1906
460	1626	1902
461	1629	1898
462	1633	1894
463	1636	1890
464	1640	1887
465	1643	1883
466	1647	1880
467	1651	1876
468	1654	1873
469	1658	1869
470	1661	1866
471	1665	1863
472	1669	1859
473	1672	1855
474	1675	1851
475	1678	1847
476	1682	1844
477	1686	1842
478	1691	1839
479	1695	1836
480	1700	1834
481	1704	1831
482	1710	1830
483	1715	1828
484	1721	1827
485	1727	1826
486	1732	1825
487	1738	1823
488	1743	1822
489	1749	1820
490	1754	1819
491	1760	1817
492	1764	1815
493	1770	1813
494	1775	1811
495	1779	1808
496	1784	1805
497	1788	1802
498	1792	1799
499	1795	1795
500	1799	1792
501	1804	1790
502	1808	1786
503	1812	1783
504	1815	1780
505	1820	1777
506	1824	1773
507	1828	1770
508	1832	1767
509	1836	1764
510	1839	1760
511	1843	1757
512	1846	1753
513	1850	1749
514	1853	1745
515	1857	1742
516	1860	1738
517	1864	1734
518	1867	1730
519	1871	1727
520	1875	1724
521	1878	1720
522	1882	1716
523	1885	1712
524	1889	1709
525	1892	1705
526	1896	1701
527	1899	1697
528	1904	1695
529	1908	1692
530	1911	1688
531	1915	1685
532	1919	1681
533	1922	1677
534	1927	1674
535	1930	1671
536	1934	1667
537	1937	1663
538	1940	1659
539	1943	1655
540	1947	1651
541	1950	1647
542	1953	1644
543	1956	1640
544	1959	1636
545	1962	1632
546	1966	1628
547	1970	1624
548	1973	1621
549	1976	1617
550	1979	1613
551	1982	1609
552	1986	1605
553	1989	1601
554	1992	1597
555	1995	1593
556	1998	1589
557	2001	1585
558	2004	1581
559	2007	1577
560	2011	1573
561	2014	1569
562	2017	1566
563	2021	1562
564	2024	1558
565	2028	1555
566	2031	1551
567	2034	1547
568	2038	1543
569	2041	1539
570	2044	1535
571	2047	1532
572	2050	1528
573	2053	1524
574	2056	1520
575	2060	1516
576	2063	1512
577	2066	1508
578	2069	1505
579	2073	1501
580	2077	1498
581	2082	1495
582	2086	1492
583	2091	1489
584	2095	1486
585	2099	1483
586	2103	1479
587	2106	1476
588	2110	1472
589	2114	1469
590	2118	1465
591	2121	1462
592	2125	1458
593	2128	1455
594	2132	1451
595	2135	1447
596	2139	1444
597	2143	1440
598	2146	1437
599	2150	1433
600	2154	1430
601	2158	1427
602	2162	1423
603	2166	1420
604	2171	1417
605	2174	1414
606	2179	1410
607	2183	1407
608	2187	1404
609	2191	1400
610	2195	1397
611	2199	1394
612	2204	1391
613	2209	1388
614	2214	1386
615	2218	1383
616	2224	1380
617	2229	1377
618	2234	1375
619	2238	1372
620	2243	1369
621	2248	1366
622	2253	1363
623	2258	1360
624	2262	1357
625	2269	1355
626	2274	1353
627	2280	1350
628	2286	1348
629	2291	1346
630	2297	1343
631	2303	1341
632	2307	1338
633	2312	1334
634	2316	1331
635	2320	1328
636	2325	1324
637	2330	1322
638	2334	1319
639	2339	1315
640	2344	1312
641	2348	1309
642	2354	1307
643	2359	1304
644	2363	1301
645	2368	1297
646	2373	1294
647	2378	1292
648	2383	1289
649	2389	1286
650	2394	1283
651	2399	1280
652	2403	1277
653	2408	1274
654	2413	1271
655	2418	1268
656	2423	1265
657	2427	1261
658	2432	1258
659	2438	1255
660	2442	1252
661	2447	1249
662	2452	1246
663	2457	1243
664	2462	1240
665	2467	1237
666	2472	1234
667	2476	1230
668	2480	1227
669	2484	1223
670	2488	1220
671	2492	1216
672	2496	1213
673	2501	1209
674	2504	1206
675	2508	1202
676	2512	1198
677	2517	1195
678	2520	1191
679	2524	1188
680	2528	1184
681	2532	1181
682	2537	1177
683	2541	1174
684	2544	1170
685	2548	1166
686	2551	1162
687	2554	1158
688	2558	1154
689	2561	1150
690	2564	1146
691	2568	1143
692	2572	1139
693	2575	1135
694	2578	1131
695	2582	1127
696	2585	1124
697	2588	1120
698	2592	1116
699	2595	1112
700	2599	1108
701	2602	1104
702	2605	1100
703	2609	1097
704	2612	1093
705	2615	1089
706	2619	1085
707	2622	1081
708	2625	1077
709	2628	1073
710	2631	1069
711	2635	1065
712	2638	1062
713	2641	1058
714	2644	1054
715	2648	1050
716	2651	1046
717	2654	1042
718	2657	1038
719	2660	1034
720	2664	1030
721	2667	1027
722	2670	1023
723	2673	1019
724	2677	1015
725	2680	1011
726	2683	1007
727	2686	1003
728	2689	999
729	2693	996
730	2696	992
731	2699	988
732	2702	984
733	2705	980
734	2709	976
735	2712	972
736	2715	969
737	2718	965
738	2722	961
739	2725	957
740	2730	954
741	2733	950
742	2736	946
743	2740	942
744	2743	939
745	2746	935
746	2750	931
747	2753	927
748	2757	923
749	2760	920
750	2763	916
751	2767	912
752	2770	908
753	2773	904
754	2777	901
755	2780	897
756	2784	893
757	2787	889
758	2790	886
759	2793	882
760	2796	878
761	2800	874
762	2803	870
763	2806	866
764	2809	863
765	2812	859
766	2816	855
767	2819	851
768	2823	848
769	2826	844
770	2829	840
771	2833	836
772	2836	833
773	2840	829
774	2843	825
775	2847	821
776	2850	818
777	2854	814
778	2857	810
779	2861	807
780	2864	803
781	2868	799
782	2871	795
783	2875	792
784	2879	788
785	2882	784
786	2886	781
787	2889	777
788	2893	773
789	2897	770
790	2901	766
791	2904	762
792	2908	759
793	2911	755
794	2915	751
795	2918	748
796	2922	744
797	2925	740
798	2928	736
799	2932	733
800	2935	729
801	2939	725
802	2942	721
803	2946	718
804	2950	714
805	2953	710
806	2957	707
807	2960	703
808	2964	699
809	2967	696
810	2971	692
811	2974	688
812	2978	684
813	2981	681
814	2985	677
815	2988	673
816	2991	670
817	2995	666
818	2998	662
819	3001	658
820	3004	655
821	3008	651
822	3011	647
823	3014	643
824	3017	640
825	3020	636
826	3024	632
827	3027	628
828	3031	625
829	3034	621
830	3038	617
831	3041	614
832	3044	610
833	3047	606
834	3050	602
835	3054	599
836	3057	595
837	3060	591
838	3065	588
839	3068	584
840	3071	580
841	3074	576
842	3077	573
843	3080	569
844	3084	565
845	3087	562
846	3091	558
847	3094	554
848	3098	551
849	3101	547
850	3104	543
851	3107	539
852	3110	536
853	3114	532
854	3117	528
855	3121	525
856	3125	521
857	3128	517
858	3131	514
859	3134	510
860	3138	506
861	3141	502
862	3145	499
863	3148	495
864	3151	491
865	3155	488
866	3158	484
867	3162	480
868	3165	477
869	3168	473
870	3171	469
871	3175	466
872	3177	462
873	3181	458
874	3184	454
875	3187	451
876	3191	447
877	3194	443
878	3198	440
879	3201	436
880	3205	432
881	3208	429
882	3212	425
883	3215	421
884	3218	418
885	3222	414
886	3225	410
887	3228	407
888	3232	403
889	3235	399
890	3238	396
891	3242	392
892	3246	388
893	3249	385
894	3252	381
895	3256	377
896	3259	374
897	3262	370
898	3266	366
899	3269	363
900	3273	359
901	3276	355
902	3279	352
903	3283	348
904	3286	344
905	3289	341
906	3292	337
907	3295	333
908	3299	330
909	3302	326
910	3306	322
911	3310	319
912	3313	315
913	3316	312
914	3319	308
915	3323	304
916	3326	301
917	3329	297
918	3333	293
919	3336	290
920	3340	286
921	3342	282
922	3346	279
923	3349	275
924	3352	271
925	3355	268
926	3359	264
927	3362	260
928	3366	257
929	3369	253
930	3373	250
931	3376	246
932	3380	242
933	3383	239
934	3386	235
935	3389	231
936	3392	228
937	3396	224
938	3399	220
939	3403	217
940	3406	213
941	3410	209
942	3413	206
943	3416	202
944	3419	199
945	3423	195
946	3426	191
947	3429	188
948	3433	184
949	3436	180
950	3440	177
951	3443	173
952	3447	170
953	3450	166
954	3454	162
955	3457	159
956	3461	155
957	3464	151
958	3467	148
959	3470	144
960	3474	140
961	3477	137
962	3480	133
963	3484	130
964	3487	126
965	3491	122
966	3494	119
967	3498	115
968	3502	112
969	3505	108
970	3508	104
971	3512	101
972	3516	97
973	3520	93
974	3523	90
975	3526	86
976	3530	83
977	3533	79
978	3536	75
979	3539	72
980	3543	68
981	3546	65
982	3550	61
983	3553	57
984	3557	54
985	3560	50
986	3564	46
987	3567	43
988	3571	39
989	3574	36
990	3577	32
991	3581	28
992	3584	25
993	3588	21
994	3591	18
995	3595	14
996	3598	10
997	3601	7
998	3604	3
999	3607	0
